Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.001915
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.001937
Start: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.001942
End: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.001956
End: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.001966
End: N=4, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.001979
Start: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.001999
Start: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.002016
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002035
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002102
Start: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002112
End: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002227
End: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.002234
Start: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.002323
End: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.002333
End: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.002344
End: N=5, Current_CPU=0, Previous_CPU=00000, Pre_N=7, Cur_Time=0.002360
End: N=7, Current_CPU=0, Previous_CPU=0000, Pre_N=8, Cur_Time=0.002380
Start: N=6, Current_CPU=0, Previous_CPU=0000, Pre_N=8, Cur_Time=0.002398
Start: N=5, Current_CPU=0, Previous_CPU=00000, Pre_N=6, Cur_Time=0.002418
Start: N=4, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.002442
Start: N=3, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.002461
Start: N=2, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.002475
Start: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.002497
End: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.002508
Start: N=0, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.002519
End: N=0, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.002525
End: N=2, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.002540
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.002559
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.002573
End: N=3, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.002579
Start: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.002597
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002615
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002630
Start: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002636
End: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002650
End: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.002656
End: N=4, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.002680
Start: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.002701
Start: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.002716
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002734
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002745
Start: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002771
End: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002786
End: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.002797
Start: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.002818
End: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.002858
End: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.002863
End: N=5, Current_CPU=0, Previous_CPU=00000, Pre_N=6, Cur_Time=0.002918
Start: N=4, Current_CPU=0, Previous_CPU=00000, Pre_N=6, Cur_Time=0.002936
Start: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.002955
Start: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.002974
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002988
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002998
Start: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003003
End: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003007
End: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.003026
Start: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.003041
