End: N=3, Current_CPU=1, Previous_CPU=000111, Pre_N=4, Cur_Time=0.001675
End: N=4, Current_CPU=1, Previous_CPU=00011, Pre_N=5, Cur_Time=0.001683
End: N=5, Current_CPU=1, Previous_CPU=0001, Pre_N=7, Cur_Time=0.001770
Start: N=6, Current_CPU=1, Previous_CPU=0001, Pre_N=7, Cur_Time=0.001784
Start: N=4, Current_CPU=1, Previous_CPU=00011, Pre_N=6, Cur_Time=0.001792
Start: N=2, Current_CPU=1, Previous_CPU=000111, Pre_N=4, Cur_Time=0.001799
Start: N=0, Current_CPU=1, Previous_CPU=0001111, Pre_N=2, Cur_Time=0.001807
End: N=0, Current_CPU=1, Previous_CPU=0001111, Pre_N=2, Cur_Time=0.001836
Start: N=1, Current_CPU=1, Previous_CPU=0001111, Pre_N=2, Cur_Time=0.001846
End: N=1, Current_CPU=1, Previous_CPU=0001111, Pre_N=2, Cur_Time=0.001850
End: N=2, Current_CPU=1, Previous_CPU=000111, Pre_N=4, Cur_Time=0.001855
Start: N=3, Current_CPU=1, Previous_CPU=000111, Pre_N=4, Cur_Time=0.001862
Start: N=1, Current_CPU=1, Previous_CPU=0001111, Pre_N=3, Cur_Time=0.001884
End: N=1, Current_CPU=1, Previous_CPU=0001111, Pre_N=3, Cur_Time=0.001888
Start: N=2, Current_CPU=1, Previous_CPU=0001111, Pre_N=3, Cur_Time=0.001892
Start: N=0, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.001899
End: N=0, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.001902
Start: N=1, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.001906
End: N=1, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.001910
End: N=2, Current_CPU=1, Previous_CPU=0001111, Pre_N=3, Cur_Time=0.001915
End: N=3, Current_CPU=1, Previous_CPU=000111, Pre_N=4, Cur_Time=0.001922
End: N=4, Current_CPU=1, Previous_CPU=00011, Pre_N=6, Cur_Time=0.001929
Start: N=5, Current_CPU=1, Previous_CPU=00011, Pre_N=6, Cur_Time=0.002027
Start: N=3, Current_CPU=1, Previous_CPU=000111, Pre_N=5, Cur_Time=0.002033
Start: N=1, Current_CPU=1, Previous_CPU=0001111, Pre_N=3, Cur_Time=0.002040
End: N=1, Current_CPU=1, Previous_CPU=0001111, Pre_N=3, Cur_Time=0.002044
Start: N=2, Current_CPU=1, Previous_CPU=0001111, Pre_N=3, Cur_Time=0.002048
Start: N=0, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.002054
End: N=0, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.002058
Start: N=1, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.002062
End: N=1, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.002065
End: N=2, Current_CPU=1, Previous_CPU=0001111, Pre_N=3, Cur_Time=0.002070
End: N=3, Current_CPU=1, Previous_CPU=000111, Pre_N=5, Cur_Time=0.002077
Start: N=4, Current_CPU=1, Previous_CPU=000111, Pre_N=5, Cur_Time=0.002084
Start: N=2, Current_CPU=1, Previous_CPU=0001111, Pre_N=4, Cur_Time=0.002091
Start: N=0, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.002098
End: N=0, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.002102
Start: N=1, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.002106
End: N=1, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.002110
End: N=2, Current_CPU=1, Previous_CPU=0001111, Pre_N=4, Cur_Time=0.002115
Start: N=3, Current_CPU=1, Previous_CPU=0001111, Pre_N=4, Cur_Time=0.002121
Start: N=1, Current_CPU=1, Previous_CPU=00011111, Pre_N=3, Cur_Time=0.002128
End: N=1, Current_CPU=1, Previous_CPU=00011111, Pre_N=3, Cur_Time=0.002133
Start: N=2, Current_CPU=1, Previous_CPU=00011111, Pre_N=3, Cur_Time=0.002141
Start: N=0, Current_CPU=1, Previous_CPU=000111111, Pre_N=2, Cur_Time=0.002148
End: N=0, Current_CPU=1, Previous_CPU=000111111, Pre_N=2, Cur_Time=0.002152
Start: N=1, Current_CPU=1, Previous_CPU=000111111, Pre_N=2, Cur_Time=0.002156
End: N=1, Current_CPU=1, Previous_CPU=000111111, Pre_N=2, Cur_Time=0.002160
End: N=2, Current_CPU=1, Previous_CPU=00011111, Pre_N=3, Cur_Time=0.002164
End: N=3, Current_CPU=1, Previous_CPU=0001111, Pre_N=4, Cur_Time=0.002171
End: N=4, Current_CPU=1, Previous_CPU=000111, Pre_N=5, Cur_Time=0.002179
End: N=5, Current_CPU=1, Previous_CPU=00011, Pre_N=6, Cur_Time=0.002347
End: N=6, Current_CPU=1, Previous_CPU=0001, Pre_N=7, Cur_Time=0.002362
End: N=7, Current_CPU=1, Previous_CPU=000, Pre_N=8, Cur_Time=0.002376
Start: N=9, Current_CPU=1, Previous_CPU=00, Pre_N=10, Cur_Time=0.002407
Start: N=7, Current_CPU=1, Previous_CPU=001, Pre_N=9, Cur_Time=0.002419
Start: N=5, Current_CPU=1, Previous_CPU=0011, Pre_N=7, Cur_Time=0.002426
Start: N=3, Current_CPU=1, Previous_CPU=00111, Pre_N=5, Cur_Time=0.002433
Start: N=1, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.002468
