End: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.001578
Start: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.001592
End: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.001600
End: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=4, Cur_Time=0.001609
End: N=4, Current_CPU=1, Previous_CPU=101111, Pre_N=5, Cur_Time=0.001624
Start: N=3, Current_CPU=1, Previous_CPU=101111, Pre_N=5, Cur_Time=0.001638
Start: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.001653
Start: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.001669
End: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.001677
Start: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.001686
End: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.001694
End: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.001703
Start: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.001717
End: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.001727
End: N=3, Current_CPU=1, Previous_CPU=101111, Pre_N=5, Cur_Time=0.001736
End: N=5, Current_CPU=1, Previous_CPU=10111, Pre_N=7, Cur_Time=0.001750
End: N=7, Current_CPU=1, Previous_CPU=1011, Pre_N=8, Cur_Time=0.001764
Start: N=6, Current_CPU=1, Previous_CPU=1011, Pre_N=8, Cur_Time=0.001778
Start: N=5, Current_CPU=1, Previous_CPU=10111, Pre_N=6, Cur_Time=0.001794
Start: N=4, Current_CPU=1, Previous_CPU=101111, Pre_N=5, Cur_Time=0.001809
Start: N=3, Current_CPU=1, Previous_CPU=1011111, Pre_N=4, Cur_Time=0.001825
Start: N=2, Current_CPU=1, Previous_CPU=10111111, Pre_N=3, Cur_Time=0.001840
Start: N=1, Current_CPU=1, Previous_CPU=101111111, Pre_N=2, Cur_Time=0.001855
End: N=1, Current_CPU=1, Previous_CPU=101111111, Pre_N=2, Cur_Time=0.001864
Start: N=0, Current_CPU=1, Previous_CPU=101111111, Pre_N=2, Cur_Time=0.001873
End: N=0, Current_CPU=1, Previous_CPU=101111111, Pre_N=2, Cur_Time=0.001882
End: N=2, Current_CPU=1, Previous_CPU=10111111, Pre_N=3, Cur_Time=0.001890
Start: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=3, Cur_Time=0.001904
End: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=3, Cur_Time=0.001913
End: N=3, Current_CPU=1, Previous_CPU=1011111, Pre_N=4, Cur_Time=0.001921
Start: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=4, Cur_Time=0.001935
Start: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.001950
End: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.001959
Start: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.001967
End: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.001977
End: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=4, Cur_Time=0.001986
