End: N=2, Current_CPU=0, Previous_CPU=0010001, Pre_N=3, Cur_Time=0.012724
Start: N=1, Current_CPU=0, Previous_CPU=0010001, Pre_N=3, Cur_Time=0.012744
End: N=1, Current_CPU=0, Previous_CPU=0010001, Pre_N=3, Cur_Time=0.012754
Start: N=2, Current_CPU=0, Previous_CPU=001000, Pre_N=4, Cur_Time=0.012781
End: N=2, Current_CPU=0, Previous_CPU=001000, Pre_N=4, Cur_Time=0.013315
End: N=4, Current_CPU=0, Previous_CPU=00100, Pre_N=6, Cur_Time=0.013334
End: N=6, Current_CPU=0, Previous_CPU=0010, Pre_N=8, Cur_Time=0.013352
End: N=8, Current_CPU=0, Previous_CPU=001, Pre_N=9, Cur_Time=0.013370
Start: N=7, Current_CPU=0, Previous_CPU=001, Pre_N=9, Cur_Time=0.013388
Start: N=5, Current_CPU=0, Previous_CPU=00101, Pre_N=6, Cur_Time=0.013661
Start: N=3, Current_CPU=0, Previous_CPU=0010101, Pre_N=4, Cur_Time=0.014195
Start: N=1, Current_CPU=0, Previous_CPU=001010101, Pre_N=2, Cur_Time=0.014707
End: N=1, Current_CPU=0, Previous_CPU=001010101, Pre_N=2, Cur_Time=0.014713
Start: N=0, Current_CPU=0, Previous_CPU=001010101, Pre_N=2, Cur_Time=0.014718
End: N=0, Current_CPU=0, Previous_CPU=001010101, Pre_N=2, Cur_Time=0.014722
End: N=3, Current_CPU=0, Previous_CPU=0010101, Pre_N=4, Cur_Time=0.015033
Start: N=1, Current_CPU=0, Previous_CPU=00101011, Pre_N=2, Cur_Time=0.015063
End: N=1, Current_CPU=0, Previous_CPU=00101011, Pre_N=2, Cur_Time=0.015068
Start: N=0, Current_CPU=0, Previous_CPU=00101011, Pre_N=2, Cur_Time=0.015085
End: N=0, Current_CPU=0, Previous_CPU=00101011, Pre_N=2, Cur_Time=0.015090
Start: N=2, Current_CPU=0, Previous_CPU=0010101, Pre_N=3, Cur_Time=0.015658
End: N=2, Current_CPU=0, Previous_CPU=0010101, Pre_N=3, Cur_Time=0.016183
End: N=5, Current_CPU=0, Previous_CPU=00101, Pre_N=6, Cur_Time=0.016317
Start: N=3, Current_CPU=0, Previous_CPU=001011, Pre_N=4, Cur_Time=0.016351
Start: N=1, Current_CPU=0, Previous_CPU=00101101, Pre_N=2, Cur_Time=0.016922
End: N=1, Current_CPU=0, Previous_CPU=00101101, Pre_N=2, Cur_Time=0.016928
Start: N=0, Current_CPU=0, Previous_CPU=00101101, Pre_N=2, Cur_Time=0.016933
End: N=0, Current_CPU=0, Previous_CPU=00101101, Pre_N=2, Cur_Time=0.016938
End: N=3, Current_CPU=0, Previous_CPU=001011, Pre_N=4, Cur_Time=0.017470
Start: N=1, Current_CPU=0, Previous_CPU=0010111, Pre_N=2, Cur_Time=0.017500
End: N=1, Current_CPU=0, Previous_CPU=0010111, Pre_N=2, Cur_Time=0.017506
Start: N=0, Current_CPU=0, Previous_CPU=0010111, Pre_N=2, Cur_Time=0.017511
End: N=0, Current_CPU=0, Previous_CPU=0010111, Pre_N=2, Cur_Time=0.017516
Start: N=4, Current_CPU=0, Previous_CPU=00101, Pre_N=5, Cur_Time=0.018101
Start: N=2, Current_CPU=0, Previous_CPU=0010101, Pre_N=3, Cur_Time=0.018590
End: N=2, Current_CPU=0, Previous_CPU=0010101, Pre_N=3, Cur_Time=0.018854
Start: N=1, Current_CPU=0, Previous_CPU=0010101, Pre_N=2, Cur_Time=0.019168
End: N=1, Current_CPU=0, Previous_CPU=0010101, Pre_N=2, Cur_Time=0.019174
Start: N=0, Current_CPU=0, Previous_CPU=0010101, Pre_N=2, Cur_Time=0.019179
End: N=0, Current_CPU=0, Previous_CPU=0010101, Pre_N=2, Cur_Time=0.019184
End: N=4, Current_CPU=0, Previous_CPU=00101, Pre_N=5, Cur_Time=0.019708
Start: N=2, Current_CPU=0, Previous_CPU=001011, Pre_N=3, Cur_Time=0.019739
End: N=2, Current_CPU=0, Previous_CPU=001011, Pre_N=3, Cur_Time=0.020032
End: N=7, Current_CPU=0, Previous_CPU=001, Pre_N=9, Cur_Time=0.020398
Start: N=7, Current_CPU=0, Previous_CPU=001, Pre_N=8, Cur_Time=0.020443
Start: N=5, Current_CPU=0, Previous_CPU=00101, Pre_N=6, Cur_Time=0.020948
Start: N=3, Current_CPU=0, Previous_CPU=0010101, Pre_N=4, Cur_Time=0.021490
Start: N=1, Current_CPU=0, Previous_CPU=001010101, Pre_N=2, Cur_Time=0.022028
End: N=1, Current_CPU=0, Previous_CPU=001010101, Pre_N=2, Cur_Time=0.022033
Start: N=0, Current_CPU=0, Previous_CPU=001010101, Pre_N=2, Cur_Time=0.022038
End: N=0, Current_CPU=0, Previous_CPU=001010101, Pre_N=2, Cur_Time=0.022043
End: N=3, Current_CPU=0, Previous_CPU=0010101, Pre_N=4, Cur_Time=0.022558
Start: N=1, Current_CPU=0, Previous_CPU=00101011, Pre_N=2, Cur_Time=0.022585
End: N=1, Current_CPU=0, Previous_CPU=00101011, Pre_N=2, Cur_Time=0.022590
Start: N=0, Current_CPU=0, Previous_CPU=00101011, Pre_N=2, Cur_Time=0.022595
End: N=0, Current_CPU=0, Previous_CPU=00101011, Pre_N=2, Cur_Time=0.022600
Start: N=2, Current_CPU=0, Previous_CPU=0010101, Pre_N=3, Cur_Time=0.023113
End: N=2, Current_CPU=0, Previous_CPU=0010101, Pre_N=3, Cur_Time=0.023375
End: N=5, Current_CPU=0, Previous_CPU=00101, Pre_N=6, Cur_Time=0.023707
Start: N=3, Current_CPU=0, Previous_CPU=001011, Pre_N=4, Cur_Time=0.023737
Start: N=1, Current_CPU=0, Previous_CPU=00101101, Pre_N=2, Cur_Time=0.024320
End: N=1, Current_CPU=0, Previous_CPU=00101101, Pre_N=2, Cur_Time=0.024327
Start: N=0, Current_CPU=0, Previous_CPU=00101101, Pre_N=2, Cur_Time=0.024335
End: N=0, Current_CPU=0, Previous_CPU=00101101, Pre_N=2, Cur_Time=0.024340
End: N=3, Current_CPU=0, Previous_CPU=001011, Pre_N=4, Cur_Time=0.024999
Start: N=1, Current_CPU=0, Previous_CPU=0010111, Pre_N=2, Cur_Time=0.025030
End: N=1, Current_CPU=0, Previous_CPU=0010111, Pre_N=2, Cur_Time=0.025036
Start: N=0, Current_CPU=0, Previous_CPU=0010111, Pre_N=2, Cur_Time=0.025042
End: N=0, Current_CPU=0, Previous_CPU=0010111, Pre_N=2, Cur_Time=0.025048
Start: N=4, Current_CPU=0, Previous_CPU=00101, Pre_N=5, Cur_Time=0.025672
Start: N=2, Current_CPU=0, Previous_CPU=0010101, Pre_N=3, Cur_Time=0.026214
End: N=2, Current_CPU=0, Previous_CPU=0010101, Pre_N=3, Cur_Time=0.026495
Start: N=1, Current_CPU=0, Previous_CPU=0010101, Pre_N=2, Cur_Time=0.026828
End: N=1, Current_CPU=0, Previous_CPU=0010101, Pre_N=2, Cur_Time=0.026833
Start: N=0, Current_CPU=0, Previous_CPU=0010101, Pre_N=2, Cur_Time=0.026838
End: N=0, Current_CPU=0, Previous_CPU=0010101, Pre_N=2, Cur_Time=0.026842
End: N=4, Current_CPU=0, Previous_CPU=00101, Pre_N=5, Cur_Time=0.027322
Start: N=2, Current_CPU=0, Previous_CPU=001011, Pre_N=3, Cur_Time=0.027352
End: N=2, Current_CPU=0, Previous_CPU=001011, Pre_N=3, Cur_Time=0.027632
End: N=7, Current_CPU=0, Previous_CPU=001, Pre_N=8, Cur_Time=0.027981
Start: N=5, Current_CPU=0, Previous_CPU=0011, Pre_N=6, Cur_Time=0.028027
Start: N=3, Current_CPU=0, Previous_CPU=001101, Pre_N=4, Cur_Time=0.028595
Start: N=1, Current_CPU=0, Previous_CPU=00110101, Pre_N=2, Cur_Time=0.029103
End: N=1, Current_CPU=0, Previous_CPU=00110101, Pre_N=2, Cur_Time=0.029110
Start: N=0, Current_CPU=0, Previous_CPU=00110101, Pre_N=2, Cur_Time=0.029115
End: N=0, Current_CPU=0, Previous_CPU=00110101, Pre_N=2, Cur_Time=0.029120
End: N=3, Current_CPU=0, Previous_CPU=001101, Pre_N=4, Cur_Time=0.029597
Start: N=1, Current_CPU=0, Previous_CPU=0011011, Pre_N=2, Cur_Time=0.029624
End: N=1, Current_CPU=0, Previous_CPU=0011011, Pre_N=2, Cur_Time=0.029629
Start: N=0, Current_CPU=0, Previous_CPU=0011011, Pre_N=2, Cur_Time=0.029634
End: N=0, Current_CPU=0, Previous_CPU=0011011, Pre_N=2, Cur_Time=0.029639
Start: N=2, Current_CPU=0, Previous_CPU=001101, Pre_N=3, Cur_Time=0.030181
End: N=2, Current_CPU=0, Previous_CPU=001101, Pre_N=3, Cur_Time=0.030477
