Start: N=2, Current_CPU=1, Previous_CPU=0010101, Pre_N=4, Cur_Time=0.015052
End: N=2, Current_CPU=1, Previous_CPU=0010101, Pre_N=4, Cur_Time=0.015595
End: N=4, Current_CPU=1, Previous_CPU=001010, Pre_N=5, Cur_Time=0.015614
Start: N=3, Current_CPU=1, Previous_CPU=001010, Pre_N=5, Cur_Time=0.015633
Start: N=1, Current_CPU=1, Previous_CPU=00101010, Pre_N=2, Cur_Time=0.016157
End: N=1, Current_CPU=1, Previous_CPU=00101010, Pre_N=2, Cur_Time=0.016165
Start: N=0, Current_CPU=1, Previous_CPU=00101010, Pre_N=2, Cur_Time=0.016173
End: N=0, Current_CPU=1, Previous_CPU=00101010, Pre_N=2, Cur_Time=0.016178
Start: N=1, Current_CPU=1, Previous_CPU=0010101, Pre_N=3, Cur_Time=0.016279
End: N=1, Current_CPU=1, Previous_CPU=0010101, Pre_N=3, Cur_Time=0.016289
End: N=3, Current_CPU=1, Previous_CPU=001010, Pre_N=5, Cur_Time=0.016299
Start: N=4, Current_CPU=1, Previous_CPU=00101, Pre_N=6, Cur_Time=0.016336
Start: N=2, Current_CPU=1, Previous_CPU=0010110, Pre_N=3, Cur_Time=0.016634
End: N=2, Current_CPU=1, Previous_CPU=0010110, Pre_N=3, Cur_Time=0.017431
Start: N=1, Current_CPU=1, Previous_CPU=0010110, Pre_N=3, Cur_Time=0.017451
End: N=1, Current_CPU=1, Previous_CPU=0010110, Pre_N=3, Cur_Time=0.017460
Start: N=2, Current_CPU=1, Previous_CPU=001011, Pre_N=4, Cur_Time=0.017489
End: N=2, Current_CPU=1, Previous_CPU=001011, Pre_N=4, Cur_Time=0.018010
End: N=4, Current_CPU=1, Previous_CPU=00101, Pre_N=6, Cur_Time=0.018055
End: N=6, Current_CPU=1, Previous_CPU=0010, Pre_N=7, Cur_Time=0.018072
Start: N=5, Current_CPU=1, Previous_CPU=0010, Pre_N=7, Cur_Time=0.018089
Start: N=3, Current_CPU=1, Previous_CPU=001010, Pre_N=4, Cur_Time=0.018345
Start: N=1, Current_CPU=1, Previous_CPU=00101010, Pre_N=2, Cur_Time=0.018835
End: N=1, Current_CPU=1, Previous_CPU=00101010, Pre_N=2, Cur_Time=0.018840
Start: N=0, Current_CPU=1, Previous_CPU=00101010, Pre_N=2, Cur_Time=0.018844
End: N=0, Current_CPU=1, Previous_CPU=00101010, Pre_N=2, Cur_Time=0.018849
Start: N=1, Current_CPU=1, Previous_CPU=0010101, Pre_N=3, Cur_Time=0.018862
End: N=1, Current_CPU=1, Previous_CPU=0010101, Pre_N=3, Cur_Time=0.018867
End: N=3, Current_CPU=1, Previous_CPU=001010, Pre_N=4, Cur_Time=0.019141
Start: N=2, Current_CPU=1, Previous_CPU=001010, Pre_N=4, Cur_Time=0.019158
End: N=2, Current_CPU=1, Previous_CPU=001010, Pre_N=4, Cur_Time=0.019689
Start: N=3, Current_CPU=1, Previous_CPU=00101, Pre_N=5, Cur_Time=0.019727
Start: N=1, Current_CPU=1, Previous_CPU=0010110, Pre_N=2, Cur_Time=0.020011
End: N=1, Current_CPU=1, Previous_CPU=0010110, Pre_N=2, Cur_Time=0.020017
Start: N=0, Current_CPU=1, Previous_CPU=0010110, Pre_N=2, Cur_Time=0.020022
End: N=0, Current_CPU=1, Previous_CPU=0010110, Pre_N=2, Cur_Time=0.020027
Start: N=1, Current_CPU=1, Previous_CPU=001011, Pre_N=3, Cur_Time=0.020343
End: N=1, Current_CPU=1, Previous_CPU=001011, Pre_N=3, Cur_Time=0.020353
End: N=3, Current_CPU=1, Previous_CPU=00101, Pre_N=5, Cur_Time=0.020363
End: N=5, Current_CPU=1, Previous_CPU=0010, Pre_N=7, Cur_Time=0.020380
End: N=9, Current_CPU=1, Previous_CPU=00, Pre_N=10, Cur_Time=0.020415
Start: N=8, Current_CPU=1, Previous_CPU=00, Pre_N=10, Cur_Time=0.020432
Start: N=6, Current_CPU=1, Previous_CPU=0010, Pre_N=7, Cur_Time=0.020687
Start: N=4, Current_CPU=1, Previous_CPU=001010, Pre_N=5, Cur_Time=0.021227
Start: N=2, Current_CPU=1, Previous_CPU=00101010, Pre_N=3, Cur_Time=0.021752
End: N=2, Current_CPU=1, Previous_CPU=00101010, Pre_N=3, Cur_Time=0.022520
Start: N=1, Current_CPU=1, Previous_CPU=00101010, Pre_N=3, Cur_Time=0.022538
End: N=1, Current_CPU=1, Previous_CPU=00101010, Pre_N=3, Cur_Time=0.022548
Start: N=2, Current_CPU=1, Previous_CPU=0010101, Pre_N=4, Cur_Time=0.022575
End: N=2, Current_CPU=1, Previous_CPU=0010101, Pre_N=4, Cur_Time=0.023068
End: N=4, Current_CPU=1, Previous_CPU=001010, Pre_N=5, Cur_Time=0.023085
Start: N=3, Current_CPU=1, Previous_CPU=001010, Pre_N=5, Cur_Time=0.023102
Start: N=1, Current_CPU=1, Previous_CPU=00101010, Pre_N=2, Cur_Time=0.023356
End: N=1, Current_CPU=1, Previous_CPU=00101010, Pre_N=2, Cur_Time=0.023361
Start: N=0, Current_CPU=1, Previous_CPU=00101010, Pre_N=2, Cur_Time=0.023366
End: N=0, Current_CPU=1, Previous_CPU=00101010, Pre_N=2, Cur_Time=0.023371
Start: N=1, Current_CPU=1, Previous_CPU=0010101, Pre_N=3, Cur_Time=0.023397
End: N=1, Current_CPU=1, Previous_CPU=0010101, Pre_N=3, Cur_Time=0.023402
End: N=3, Current_CPU=1, Previous_CPU=001010, Pre_N=5, Cur_Time=0.023690
Start: N=4, Current_CPU=1, Previous_CPU=00101, Pre_N=6, Cur_Time=0.023725
Start: N=2, Current_CPU=1, Previous_CPU=0010110, Pre_N=3, Cur_Time=0.024206
End: N=2, Current_CPU=1, Previous_CPU=0010110, Pre_N=3, Cur_Time=0.024957
Start: N=1, Current_CPU=1, Previous_CPU=0010110, Pre_N=3, Cur_Time=0.024978
End: N=1, Current_CPU=1, Previous_CPU=0010110, Pre_N=3, Cur_Time=0.024988
Start: N=2, Current_CPU=1, Previous_CPU=001011, Pre_N=4, Cur_Time=0.025018
End: N=2, Current_CPU=1, Previous_CPU=001011, Pre_N=4, Cur_Time=0.025607
End: N=4, Current_CPU=1, Previous_CPU=00101, Pre_N=6, Cur_Time=0.025627
End: N=6, Current_CPU=1, Previous_CPU=0010, Pre_N=7, Cur_Time=0.025644
Start: N=5, Current_CPU=1, Previous_CPU=0010, Pre_N=7, Cur_Time=0.025661
Start: N=3, Current_CPU=1, Previous_CPU=001010, Pre_N=4, Cur_Time=0.025942
Start: N=1, Current_CPU=1, Previous_CPU=00101010, Pre_N=2, Cur_Time=0.026476
End: N=1, Current_CPU=1, Previous_CPU=00101010, Pre_N=2, Cur_Time=0.026481
Start: N=0, Current_CPU=1, Previous_CPU=00101010, Pre_N=2, Cur_Time=0.026486
End: N=0, Current_CPU=1, Previous_CPU=00101010, Pre_N=2, Cur_Time=0.026490
Start: N=1, Current_CPU=1, Previous_CPU=0010101, Pre_N=3, Cur_Time=0.026504
End: N=1, Current_CPU=1, Previous_CPU=0010101, Pre_N=3, Cur_Time=0.026509
End: N=3, Current_CPU=1, Previous_CPU=001010, Pre_N=4, Cur_Time=0.026801
Start: N=2, Current_CPU=1, Previous_CPU=001010, Pre_N=4, Cur_Time=0.026818
End: N=2, Current_CPU=1, Previous_CPU=001010, Pre_N=4, Cur_Time=0.027304
Start: N=3, Current_CPU=1, Previous_CPU=00101, Pre_N=5, Cur_Time=0.027341
Start: N=1, Current_CPU=1, Previous_CPU=0010110, Pre_N=2, Cur_Time=0.027612
End: N=1, Current_CPU=1, Previous_CPU=0010110, Pre_N=2, Cur_Time=0.027617
Start: N=0, Current_CPU=1, Previous_CPU=0010110, Pre_N=2, Cur_Time=0.027623
End: N=0, Current_CPU=1, Previous_CPU=0010110, Pre_N=2, Cur_Time=0.027627
Start: N=1, Current_CPU=1, Previous_CPU=001011, Pre_N=3, Cur_Time=0.027641
End: N=1, Current_CPU=1, Previous_CPU=001011, Pre_N=3, Cur_Time=0.027646
End: N=3, Current_CPU=1, Previous_CPU=00101, Pre_N=5, Cur_Time=0.027938
End: N=5, Current_CPU=1, Previous_CPU=0010, Pre_N=7, Cur_Time=0.027962
Start: N=6, Current_CPU=1, Previous_CPU=001, Pre_N=8, Cur_Time=0.028001
Start: N=4, Current_CPU=1, Previous_CPU=00110, Pre_N=5, Cur_Time=0.028307
Start: N=2, Current_CPU=1, Previous_CPU=0011010, Pre_N=3, Cur_Time=0.028845
End: N=2, Current_CPU=1, Previous_CPU=0011010, Pre_N=3, Cur_Time=0.029558
Start: N=1, Current_CPU=1, Previous_CPU=0011010, Pre_N=3, Cur_Time=0.029578
End: N=1, Current_CPU=1, Previous_CPU=0011010, Pre_N=3, Cur_Time=0.029588
Start: N=2, Current_CPU=1, Previous_CPU=001101, Pre_N=4, Cur_Time=0.029614
End: N=2, Current_CPU=1, Previous_CPU=001101, Pre_N=4, Cur_Time=0.030128
End: N=4, Current_CPU=1, Previous_CPU=00110, Pre_N=5, Cur_Time=0.030147
Start: N=3, Current_CPU=1, Previous_CPU=00110, Pre_N=5, Cur_Time=0.030165
Start: N=1, Current_CPU=1, Previous_CPU=0011010, Pre_N=2, Cur_Time=0.030457
End: N=1, Current_CPU=1, Previous_CPU=0011010, Pre_N=2, Cur_Time=0.030463
Start: N=0, Current_CPU=1, Previous_CPU=0011010, Pre_N=2, Cur_Time=0.030468
End: N=0, Current_CPU=1, Previous_CPU=0011010, Pre_N=2, Cur_Time=0.030472
Start: N=1, Current_CPU=1, Previous_CPU=001101, Pre_N=3, Cur_Time=0.030486
End: N=1, Current_CPU=1, Previous_CPU=001101, Pre_N=3, Cur_Time=0.030784
End: N=3, Current_CPU=1, Previous_CPU=00110, Pre_N=5, Cur_Time=0.030793
Start: N=4, Current_CPU=1, Previous_CPU=0011, Pre_N=6, Cur_Time=0.030826
Start: N=2, Current_CPU=1, Previous_CPU=001110, Pre_N=3, Cur_Time=0.031117
End: N=2, Current_CPU=1, Previous_CPU=001110, Pre_N=3, Cur_Time=0.031897
Start: N=1, Current_CPU=1, Previous_CPU=001110, Pre_N=3, Cur_Time=0.031917
End: N=1, Current_CPU=1, Previous_CPU=001110, Pre_N=3, Cur_Time=0.031927
Start: N=2, Current_CPU=1, Previous_CPU=00111, Pre_N=4, Cur_Time=0.031957
End: N=2, Current_CPU=1, Previous_CPU=00111, Pre_N=4, Cur_Time=0.032613
End: N=4, Current_CPU=1, Previous_CPU=0011, Pre_N=6, Cur_Time=0.032643
End: N=6, Current_CPU=1, Previous_CPU=001, Pre_N=8, Cur_Time=0.032662
End: N=8, Current_CPU=1, Previous_CPU=00, Pre_N=10, Cur_Time=0.032680
