Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.001433
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.001442
Start: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.001450
End: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.001485
End: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.001494
End: N=4, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.001509
Start: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.001525
Start: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.001542
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.001557
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.001566
Start: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.001575
End: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.001583
End: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.001591
Start: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.001606
End: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.001616
End: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.001624
End: N=5, Current_CPU=0, Previous_CPU=00000, Pre_N=7, Cur_Time=0.001639
End: N=7, Current_CPU=0, Previous_CPU=0000, Pre_N=8, Cur_Time=0.001653
Start: N=6, Current_CPU=0, Previous_CPU=0000, Pre_N=8, Cur_Time=0.001667
Start: N=5, Current_CPU=0, Previous_CPU=00000, Pre_N=6, Cur_Time=0.001683
Start: N=4, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.001698
Start: N=3, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.001713
Start: N=2, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.001728
Start: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.001743
End: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.001751
Start: N=0, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.001760
End: N=0, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.001769
End: N=2, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.001777
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.001791
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.001801
End: N=3, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.001809
Start: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.001823
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.001838
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.001847
Start: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.001857
End: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.001866
